Main Category,Item Type,Item Name,Quantity,Unit,Brand,Part Number,Subcategory,Supplier,Location,Reorder Threshold,Notes,Critical Item,In Stock,NEEDS_REVIEW,Original Row,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Hacksaw,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,167,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Crimper,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,168,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Hammer,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,169,,,,,,,,
Tool Kit for CNC Tool Drawer,Supply,3m measuring tape,1,piece,,,Tools,,tool drawer (saloon),2,No,No,,,170,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Stanley knife,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,171,,,,,,,,
Tool Kit for CNC Tool Drawer,Supply,Stanley Blades,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,172,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Set of drill bits sz 1-10,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,173,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,"Bosch Ratchet set sz 6, 7, 8, 10, 13",1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,174,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Silicone gun,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,175,,,,,,,,
Tool Kit for CNC Tool Drawer,Supply,Filter spanner key,1,piece,,,Tools,,tool drawer (saloon),1,No,No,,,176,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Set of screwdrivers,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,177,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Socket set sz 10-32,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,178,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Adjustable spanner 10-250mm,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,179,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,9 pcs 2-10mm metal drill bit,1,piece,,,,,tool drawer (saloon),0,No,No,,,180,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,random yellow case of screws and hex bolts,1,piece,,,,,tool drawer (saloon),0,No,No,,,181,,,,,,,,
Rudder,Supply,Gaitors,2,piece,,,Rudder Boot,Jefa Rudder,Portside watermaker cupboard,0,No,No,,,183,,,,,,,,
Tender/dingy,Supply,Spares for Tender,1,piece,,,Tender,,TBD,0,No,No,,NO_LOCATION,185,,,,,,,,
Tender/dingy,Item,Straps to secure tender for long passages,1,piece,,,Tender,,Stern shallow cupboard - behind helm,0,No,No,,,186,,,,,,,,
